range1;range2;count
R: [1h30 - 1h45[;F: [150-165[;42
G: [5,000,000-10,000,000[;S: 0;0
B: [1,000,000-5,000,000[;G: [50,000,000-100,000,000[;55
G: [5,000,000-10,000,000[;S: 3;11
F: [150-165[;B: [50,000-100,000[;6
F: [150-165[;B: [10,000,000-50,000,000[;59
B: [500-1000[;G: [100-500[;1
R: [2h30 - 3h[;F: [105-120[;9
G: [1,000-5,000[;S: 5;58
B: [5,000,000-10,000,000[;G: [100,000,000-500,000,000[;39
F: [105-120[;B: [10,000,000-50,000,000[;178
B: [10,000-50,000[;G: [100,000-500,000[;45
B: [50-100[;G: [50-100[;0
F: [15-30[;B: [1,000-5,000[;98
B: [100-500[;G: [10,000,000-50,000,000[;0
G: [1,000,000-5,000,000[;S: 3;36
G: [1,000,000-5,000,000[;S: 10;4
G: [50-100[;S: 10;0
G: [10,000,000-50,000,000[;S: 9;124
R: [1h30 - 1h45[;F: [120-135[;62
F: [105-120[;B: [100-500[;8
